form	lemma	POS	morph
		
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
།		PUNCT
རིགས་གསུམ་	རིགས་གསུམ་	OTHER
གཅིག་	གཅིག་	NUM
བསྡུ་	བསྡུ་	VERB
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ཐོད་ཕྲེང་	ཐོད་ཕྲེང་	NO_POS
རྩལ་	རྩལ་	NOUN
། །		PUNCT
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
སེང་	སེང་	NOUN
ཆེན་	ཆེན་	NO_POS
ནོར་བུ་	ནོར་བུ་	NOUN
དགྲ་	དགྲ་	NOUN
འདུལ་	འདུལ་	NO_POS
གྱི་	གི་	PART
། །		PUNCT
དགོངས་	དགོངས་	VERB
བརྒྱུད་	བརྒྱུད་	NO_POS
བྱིན་	བྱིན་	VERB
ཐོབ་	ཐོབ་	VERB
འགྲོ་	འགྲོ་	VERB
འདུལ་	འདུལ་	NO_POS
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
མཆོག་	མཆོག་	ADJ
།		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
དྲི་མེད་	དྲི་མེད་	ADJ
ཁྱོད་	ཁྱོད་	PRON
ཞབས་	ཞབས་	NOUN
ཡུན་བརྟན་	ཡུན་བརྟན་	OTHER
ཤོག་	ཤོག་	VERB
།		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འོད་སྟོང་	འོད་སྟོང་	OTHER
འབར་བ་	འབར་བ་	VERB
ཡི་	གིས་	PART
། །		PUNCT
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
སྙིགས་དུས་	སྙིགས་དུས་	OTHER
ཀྱི་	གི་	PART
མུན་	མུན་	NOUN
རུམ་	རུམ་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
བསྐྲད་	བསྐྲད་	NO_POS
དེ་	དེ་	DET
། །		PUNCT
གསང་	གསང་	VERB
ཆེན་	ཆེན་	NO_POS
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
དགའ་ཚལ་	དགའ་ཚལ་	OTHER
བསྐྱེད་	བསྐྱེད་	VERB
བསྲིངས་པ་	བསྲིངས་པ་	VERB
འི་	གི་	PART
། །		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ལུང་དོན་	ལུང་དོན་	OTHER
བསླུ་བ་	བསླུ་བ་	VERB
མེད་	མེད་	VERB
འགྲུབ་	འགྲུབ་	VERB
ཤོག་	ཤོག་	VERB
།		PUNCT
ཅེས་	ཅེས་	PART
རིགས་གསུམ་	རིགས་གསུམ་	OTHER
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
དགོངས་	དགོངས་	VERB
མཛོད་	མཛོད་	NOUN
ཀྱི་	གི་	PART
ཆོས་སྡེ་	ཆོས་སྡེ་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
དུས་བབ་	དུས་བབ་	NO_POS
ཀྱི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཆོ་	ཆོ་	NOUN
སུ་	སུ་	ADP
ངེས་པ་	ངེས་པ་	VERB
རྙེད་	རྙེད་	VERB
དེ་	དེ་	DET
གཏེར་	གཏེར་	NOUN
འབྱིན་	འབྱིན་	VERB
རིག་འཛིན་	རིག་འཛིན་	OTHER
གང་	གང་	NO_POS
གི་	གི་	PART
བརྟན་བཞུགས་	བརྟན་བཞུགས་	OTHER
སུ་	སུ་	ADP
འཇིགས་	འཇིགས་	VERB
བྲལ་	བྲལ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
རྒྱལ་	རྒྱལ་	VERB
ཟླ་	ཟླ་	NOUN
འི་	གི་	PART
ཡར་ཚེས་	ཡར་ཚེས་	NO_POS
བཅུ་	བཅུ་	NUM
ལ་	ལ་	ADP
འདུན་	འདུན་	VERB
སྨོན་	སྨོན་	VERB
དུ་	ལ་	PART
བྲིས་པ་	བྲིས་པ་	VERB
སིདྡྷི་		NON_WORD
རསྟུ་		NON_WORD
།། །།		PUNCT
