form	lemma	POS	morph
		
གདོད་	གདོད་	NO_POS
ན་	ནས་	PART
དག་པ་	དག་པ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
འཁྲུལ་	འཁྲུལ་	NO_POS
བྲལ་	བྲལ་	VERB
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
ཀྱི་	གི་	PART
ངང་	ངང་	NOUN
། །		PUNCT
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
བླ་མ་	བླ་མ་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
། །		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	སོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ཡི་	ཡི་	ADP
བར་ཆད་	བར་ཆད་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
ཟློག་	ཟློག་	VERB
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞི་	ཞི་	VERB
། །		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
དེངས་	དེངས་	NO_POS
། །		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
གསལ་	གསལ་	VERB
མདངས་	མདངས་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
